IMSI,话单数,短信数,语音时长分钟,上网流量MB,上网时长分钟,平均带宽Kbps,对端号码数,流量4G占比,业务线标识,月份数
908240294091269 ,9.00 ,3.00 ,4.09 ,2.38 ,640.09 ,64.81 ,2.00 ,1.00 ,2,4
908240294128533 ,39.00 ,5.00 ,26.68 ,3.53 ,300.22 ,205.43 ,10.00 ,0.19 ,1,1
908240294131475 ,43.00 ,2.00 ,4.80 ,2.26 ,291.52 ,135.76 ,3.00 ,1.00 ,2,1
908240294131921 ,43.33 ,3.00 ,10.49 ,19.00 ,994.12 ,309.31 ,6.80 ,1.00 ,2,6
908240294137201 ,15.20 ,9.00 ,13.04 ,0.00 ,0.14 ,12.00 ,4.50 ,1.00 ,1,5
908240294138915 ,9.00 ,1.60 ,3.01 ,0.55 ,65.52 ,234.38 ,2.40 ,1.00 ,1,5
908240294175639 ,10.67 ,6.33 ,2.81 ,0.12 ,1.03 ,1959.23 ,2.67 ,1.00 ,1,3
908240294185927 ,49.50 ,3.00 ,10.02 ,24.23 ,431.63 ,1906.61 ,5.67 ,0.98 ,2,4
908240294188279 ,9.00 ,5.40 ,0.83 ,0.01 ,0.38 ,609.79 ,2.00 ,1.00 ,1,5
908240294234807 ,85.00 ,5.00 ,5.05 ,247.96 ,1219.25 ,3554.12 ,6.00 ,1.00 ,2,1
908240294237297 ,39.17 ,2.33 ,32.14 ,3.67 ,6.15 ,7284.75 ,13.33 ,1.00 ,2,6
908240294237349 ,18.50 ,5.00 ,16.96 ,0.00 ,0.12 ,9.71 ,8.50 ,1.00 ,2,6
908240294237679 ,36.00 ,1.00 ,2.93 ,4.56 ,848.82 ,16573.90 ,4.00 ,0.42 ,2,2
908240294242265 ,10.50 ,3.50 ,1.13 ,0.10 ,92.13 ,21.65 ,1.67 ,0.77 ,1,6
908240294272601 ,3.33 ,1.00 ,2.18 ,0.05 ,17.55 ,48.88 ,1.00 ,1.00 ,1,3
908240294372313 ,21.00 ,3.50 ,16.46 ,1.10 ,175.09 ,144.77 ,6.00 ,1.00 ,2,3
908240300663911 ,9.50 ,4.00 ,5.21 ,0.23 ,48.55 ,647.90 ,3.50 ,1.00 ,1,6
908240300746439 ,13.60 ,7.00 ,5.82 ,0.83 ,91.33 ,97.43 ,4.33 ,1.00 ,1,5
908240300852957 ,10.00 ,2.50 ,4.60 ,0.42 ,36.57 ,201.46 ,1.00 ,1.00 ,1,2
908240321861557 ,7.33 ,6.50 ,0.37 ,0.55 ,3.90 ,2228.02 ,1.00 ,1.00 ,1,6
908240380000073 ,35.00 ,14.00 ,2.50 ,4.23 ,74.92 ,985.71 ,1.00 ,1.00 ,2,1
908240380019661 ,32.33 ,10.80 ,14.05 ,12.73 ,347.15 ,1535.39 ,5.00 ,1.00 ,1,6
908240380532467 ,563.17 ,7.80 ,8.10 ,39.62 ,22802.91 ,33.55 ,8.17 ,1.00 ,2,6
908240380668795 ,474.67 ,12.40 ,12.36 ,55.29 ,3083.35 ,334.68 ,10.00 ,1.00 ,2,6
908240380671949 ,57.00 ,8.67 ,5.40 ,59.14 ,1216.34 ,801.96 ,3.00 ,0.80 ,2,4
908240381621243 ,6.25 ,1.75 ,0.47 ,0.30 ,14.70 ,517.55 ,2.00 ,1.00 ,1,4
908240398001525 ,32.00 ,4.00 ,10.98 ,11.64 ,401.58 ,506.38 ,3.00 ,1.00 ,2,1
908240398001589 ,42.50 ,2.00 ,5.19 ,8.36 ,508.45 ,579.19 ,3.00 ,0.98 ,2,6
908240398010031 ,19.33 ,3.50 ,0.80 ,19.91 ,493.83 ,898.55 ,1.00 ,1.00 ,2,3
908240398010383 ,938.33 ,62.50 ,375.21 ,389.64 ,32842.65 ,212.78 ,50.67 ,1.00 ,2,6
908240398012167 ,15.17 ,11.25 ,8.04 ,0.52 ,20.90 ,432.76 ,4.83 ,1.00 ,2,6
908240398034921 ,282.33 ,31.00 ,32.13 ,188.37 ,7030.23 ,497.95 ,15.17 ,1.00 ,2,6
908240398035097 ,99.50 ,19.00 ,38.72 ,62.14 ,30598.76 ,286.12 ,14.50 ,1.00 ,2,6
908240398041895 ,62.25 ,3.00 ,6.69 ,31.81 ,1513.17 ,513.96 ,5.25 ,1.00 ,2,4
908240398045805 ,231.00 ,63.00 ,121.63 ,45.67 ,4125.87 ,193.43 ,31.00 ,1.00 ,2,1
908240398077109 ,187.33 ,3.83 ,57.26 ,1.44 ,20.81 ,784.63 ,15.17 ,0.90 ,2,6
908240398083175 ,418.67 ,62.00 ,356.12 ,12.52 ,535.19 ,385.53 ,50.33 ,1.00 ,2,6
908240398084409 ,58.00 ,9.00 ,10.30 ,12.37 ,1520.08 ,144.23 ,3.67 ,1.00 ,2,3
908240398087429 ,114.00 ,6.00 ,1.65 ,6.80 ,3262.58 ,36.40 ,2.00 ,1.00 ,2,1
908240398092177 ,70.67 ,11.50 ,24.08 ,4.42 ,565.14 ,295.87 ,11.67 ,1.00 ,2,6
908240398093563 ,11.40 ,2.67 ,7.38 ,0.37 ,49.19 ,170.10 ,5.00 ,1.00 ,2,5
908240398098279 ,4.75 ,2.00 ,9.58 ,0.45 ,15.41 ,253.92 ,4.00 ,1.00 ,2,4
908240398117959 ,9.00 ,3.50 ,7.00 ,3.31 ,47.37 ,1220.23 ,2.00 ,1.00 ,2,2
908240398122019 ,60.00 ,9.00 ,133.30 ,2.29 ,12.88 ,3109.98 ,8.67 ,1.00 ,2,3
908240398127695 ,7.50 ,1.00 ,5.10 ,29.51 ,121.33 ,4249.76 ,1.00 ,1.00 ,2,2
908240398129901 ,36.50 ,2.50 ,15.33 ,11.05 ,461.81 ,370.65 ,9.00 ,1.00 ,2,2
908240398130907 ,8.50 ,5.00 ,3.78 ,0.76 ,8.78 ,855.77 ,2.00 ,1.00 ,1,2
908240398131171 ,29.50 ,3.80 ,29.88 ,32.37 ,715.12 ,4165.12 ,6.50 ,1.00 ,2,6
908240398132475 ,14.67 ,2.00 ,19.03 ,11.52 ,458.69 ,360.29 ,3.50 ,1.00 ,2,3
908240398132521 ,27.50 ,5.50 ,19.40 ,6.71 ,156.12 ,751.07 ,9.50 ,1.00 ,2,4
908240398133023 ,109.40 ,3.50 ,57.70 ,23.91 ,1936.30 ,389.28 ,29.60 ,1.00 ,2,5
908240398134523 ,33.75 ,9.33 ,13.77 ,2.45 ,88.43 ,351.43 ,5.67 ,1.00 ,1,4
908240398140215 ,187.67 ,10.67 ,115.50 ,103.38 ,2358.08 ,920.93 ,42.17 ,1.00 ,2,6
908240398143035 ,217.00 ,50.00 ,439.90 ,0.30 ,112.15 ,47.39 ,109.00 ,1.00 ,2,1
908240398146121 ,59.80 ,2.40 ,12.81 ,9.57 ,629.61 ,436.49 ,6.60 ,1.00 ,2,5
908240398147777 ,55.00 ,4.00 ,1.03 ,18.95 ,868.13 ,381.51 ,1.00 ,1.00 ,2,1
908240398151267 ,12.50 ,7.00 ,4.50 ,7.10 ,32.58 ,2409.49 ,2.00 ,1.00 ,2,2
908240398151525 ,29.33 ,11.50 ,26.39 ,0.03 ,8.13 ,56.84 ,7.00 ,1.00 ,2,3
908240398153575 ,461.00 ,6.00 ,34.63 ,77.66 ,7368.85 ,184.17 ,12.00 ,0.05 ,2,1
908240398154145 ,52.50 ,14.00 ,36.43 ,0.07 ,2.13 ,553.34 ,18.00 ,1.00 ,1,2
908240398155313 ,221.00 ,33.50 ,67.18 ,92.18 ,1344.52 ,1218.47 ,20.50 ,1.00 ,2,2
908240398157873 ,11.00 ,7.50 ,6.99 ,0.00 ,0.02 ,68.00 ,5.33 ,1.00 ,1,4
908240398159191 ,153.50 ,16.25 ,50.58 ,41.38 ,2331.03 ,663.26 ,12.25 ,0.55 ,2,4
908240398163589 ,26.00 ,4.00 ,27.43 ,0.52 ,10.05 ,900.27 ,13.00 ,0.98 ,2,1
908240398170059 ,11.50 ,6.50 ,4.53 ,2.06 ,43.62 ,811.10 ,2.00 ,1.00 ,2,2
908240398173009 ,7.50 ,4.00 ,3.29 ,1.13 ,12.67 ,1562.66 ,2.50 ,1.00 ,2,2
908240520414921 ,84.33 ,42.33 ,35.67 ,476.08 ,3096.86 ,1877.99 ,1.00 ,0.59 ,1,6
908240520459107 ,135.67 ,9.00 ,84.53 ,194.95 ,4129.80 ,824.99 ,19.33 ,0.30 ,1,3
908240520468499 ,279.00 ,19.00 ,0.60 ,266.44 ,3279.44 ,1373.50 ,2.00 ,0.60 ,1,2
908240520488895 ,20.33 ,5.00 ,46.68 ,2.62 ,45.03 ,1016.10 ,11.50 ,1.00 ,1,3
908240520495159 ,224.80 ,39.00 ,183.30 ,396.92 ,5789.35 ,901.42 ,5.50 ,1.00 ,1,5
908240520502021 ,159.75 ,22.33 ,39.44 ,327.66 ,3930.13 ,987.53 ,7.00 ,0.56 ,1,4
908240800104855 ,27.67 ,8.33 ,2.44 ,11.56 ,263.71 ,627.83 ,2.33 ,1.00 ,1,3
908240800105967 ,1166.50 ,68.33 ,27.49 ,1309.80 ,26728.51 ,854.58 ,30.67 ,1.00 ,2,6
908240800107113 ,203.83 ,9.33 ,11.90 ,111.71 ,1855.54 ,2275.30 ,9.75 ,1.00 ,2,6
908240800109433 ,212.00 ,11.83 ,30.55 ,212.18 ,2227.70 ,3155.86 ,17.50 ,0.81 ,2,6
908240800110019 ,202.00 ,13.33 ,17.72 ,3.39 ,2215.68 ,16.72 ,11.00 ,1.00 ,2,6
908240800114531 ,32.50 ,4.50 ,13.44 ,1.18 ,501.04 ,60.74 ,4.50 ,1.00 ,2,2
908240800115541 ,740.00 ,40.00 ,28.76 ,670.30 ,11094.31 ,991.03 ,16.83 ,1.00 ,2,6
908240800116893 ,509.00 ,40.33 ,58.98 ,82.45 ,3559.49 ,515.44 ,16.17 ,0.97 ,2,6
908240800123619 ,39.50 ,13.75 ,15.37 ,0.02 ,308.42 ,129.12 ,3.00 ,1.00 ,2,4
908240800124145 ,171.33 ,24.67 ,95.27 ,59.98 ,2922.82 ,366.02 ,19.33 ,1.00 ,2,6
908240800124405 ,401.00 ,15.60 ,5.93 ,273.29 ,6458.25 ,746.77 ,4.80 ,1.00 ,2,5
908240800127583 ,19.33 ,5.00 ,3.47 ,0.19 ,145.43 ,81.19 ,2.33 ,1.00 ,2,3
908240800130867 ,81.33 ,10.67 ,3.51 ,9.07 ,1418.83 ,181.13 ,3.50 ,1.00 ,1,3
908240800133507 ,58.67 ,13.83 ,19.88 ,3.51 ,998.01 ,243.49 ,8.17 ,1.00 ,2,6
908240800134827 ,101.00 ,10.50 ,0.58 ,0.10 ,1874.20 ,17.79 ,1.00 ,1.00 ,1,2
908240800136271 ,11.50 ,10.50 ,0.88 ,0.42 ,13.78 ,529.94 ,1.50 ,1.00 ,1,6
908240800143685 ,237.67 ,16.83 ,0.64 ,17.40 ,2627.12 ,92.57 ,1.33 ,1.00 ,1,6
908240800147771 ,126.83 ,14.00 ,17.04 ,31.06 ,2590.09 ,194.76 ,9.50 ,1.00 ,2,6
908240800153105 ,101.00 ,9.83 ,3.07 ,1.79 ,852.73 ,107.90 ,2.67 ,1.00 ,1,6
908240800171139 ,50.17 ,13.50 ,19.01 ,5.86 ,512.49 ,226.97 ,11.00 ,1.00 ,2,6
908240800179247 ,23.33 ,4.50 ,2.54 ,6.05 ,411.85 ,204.26 ,2.50 ,1.00 ,2,3
908240800179577 ,43.50 ,7.25 ,14.15 ,6.61 ,333.03 ,399.43 ,7.50 ,1.00 ,2,4
908240800184059 ,30.50 ,14.00 ,0.59 ,1.16 ,525.05 ,140.33 ,1.00 ,1.00 ,1,6
908240800194325 ,39.50 ,9.50 ,9.38 ,4.16 ,160.05 ,474.19 ,7.50 ,1.00 ,2,2
908240800194375 ,16.40 ,3.60 ,13.07 ,0.05 ,8.57 ,87.36 ,5.60 ,0.90 ,2,5
908240800198667 ,94.00 ,16.50 ,3.88 ,73.81 ,806.50 ,1197.33 ,6.00 ,1.00 ,1,2
908240800199921 ,196.50 ,7.75 ,1.08 ,0.67 ,2826.01 ,5.36 ,1.50 ,1.00 ,1,4
908240801200967 ,9.60 ,3.60 ,5.53 ,374.61 ,709.29 ,6188.02 ,2.40 ,0.00 ,1,5
908240801201023 ,340.67 ,21.83 ,60.62 ,297.56 ,3501.78 ,1351.68 ,18.50 ,0.99 ,2,6
908240801202867 ,556.83 ,26.17 ,167.52 ,716.02 ,4931.20 ,2611.99 ,37.83 ,0.96 ,2,6
908240801203191 ,113.33 ,76.67 ,39.75 ,0.84 ,2.25 ,6508.95 ,9.00 ,1.00 ,2,6
908240801209373 ,268.00 ,17.75 ,6.46 ,0.23 ,1584.97 ,0.72 ,2.33 ,0.67 ,2,5
908240801219023 ,31.50 ,10.50 ,6.66 ,0.00 ,378.09 ,0.02 ,3.00 ,1.00 ,1,4
908240801219717 ,4184.00 ,266.17 ,1041.40 ,4289.73 ,35841.47 ,2024.85 ,147.33 ,0.89 ,2,6
908240801401915 ,202.00 ,30.00 ,87.87 ,52.24 ,2030.30 ,449.66 ,50.00 ,1.00 ,2,1
908240801406899 ,178.80 ,17.20 ,68.65 ,41.98 ,3269.18 ,366.56 ,20.60 ,1.00 ,1,5
908240801407299 ,84.33 ,10.50 ,3.12 ,87.16 ,537.34 ,2808.90 ,2.80 ,1.00 ,2,6
908240801411403 ,23.00 ,12.00 ,10.54 ,16.88 ,61.23 ,3038.55 ,4.00 ,1.00 ,2,3
908240801411703 ,54.50 ,3.50 ,1.17 ,59.50 ,1808.41 ,586.56 ,1.00 ,1.00 ,2,2
908240801413925 ,16.50 ,6.00 ,5.50 ,7.74 ,51.27 ,7208.79 ,4.00 ,0.78 ,2,2
908240801415167 ,7.67 ,5.00 ,11.51 ,0.15 ,7.20 ,359.93 ,3.00 ,1.00 ,2,3
908240801416269 ,44.00 ,5.33 ,1.95 ,46.98 ,1381.36 ,555.79 ,2.00 ,1.00 ,2,3
908240801417555 ,6.33 ,7.50 ,0.83 ,0.02 ,0.62 ,588.74 ,1.00 ,1.00 ,1,3
908240801420227 ,33.40 ,8.50 ,14.85 ,17.14 ,506.49 ,399.05 ,6.33 ,0.60 ,2,5
908240801421723 ,29.00 ,4.50 ,3.92 ,129.31 ,571.00 ,3957.63 ,1.00 ,0.23 ,1,2
908240801422707 ,21.00 ,15.83 ,1.57 ,0.84 ,44.64 ,324.38 ,1.00 ,1.00 ,1,6
908240801422789 ,4.75 ,3.50 ,0.70 ,0.54 ,2.95 ,3178.96 ,1.00 ,1.00 ,2,4
908240801423273 ,48.17 ,7.33 ,48.25 ,14.61 ,410.41 ,502.89 ,16.83 ,1.00 ,2,6
908240801423609 ,577.80 ,17.00 ,33.66 ,346.35 ,3748.13 ,1683.11 ,4.40 ,1.00 ,2,5
908240801425775 ,49.00 ,9.00 ,1.53 ,1.25 ,840.68 ,78.86 ,1.00 ,1.00 ,1,4
908240801426087 ,13.50 ,12.83 ,1.35 ,0.05 ,1.47 ,637.67 ,2.00 ,1.00 ,1,6
908240801428565 ,109.25 ,25.25 ,26.13 ,20.76 ,2309.70 ,148.01 ,11.00 ,0.70 ,2,4
908240801429743 ,6.00 ,8.00 ,1.43 ,0.01 ,0.20 ,884.42 ,1.00 ,1.00 ,2,3
908240801430385 ,81.50 ,24.17 ,3.13 ,23.80 ,1527.85 ,253.22 ,1.00 ,0.96 ,1,6
908240801431045 ,29.50 ,13.50 ,1.81 ,9.05 ,374.81 ,339.38 ,2.67 ,1.00 ,2,4
908240801431539 ,22.17 ,14.67 ,10.84 ,0.40 ,56.00 ,118.34 ,4.20 ,1.00 ,2,6
908240801435065 ,83.67 ,8.00 ,0.65 ,3.90 ,1233.76 ,54.28 ,1.00 ,1.00 ,1,6
908240801435681 ,36.60 ,6.40 ,55.52 ,15.91 ,954.41 ,578.12 ,9.00 ,1.00 ,2,5
908240801436569 ,391.50 ,35.50 ,34.73 ,44.76 ,10577.27 ,50.34 ,13.50 ,0.89 ,2,2
908240801438287 ,121.00 ,10.00 ,13.05 ,95.26 ,4233.43 ,431.60 ,6.50 ,0.55 ,2,2
908240801438803 ,36.67 ,18.67 ,8.18 ,4.94 ,476.85 ,121.90 ,4.67 ,1.00 ,2,3
908240801440171 ,115.00 ,13.83 ,9.06 ,12.75 ,2484.59 ,105.52 ,6.60 ,0.86 ,2,6
908240801441083 ,225.50 ,7.75 ,20.81 ,323.10 ,3017.20 ,3490.32 ,9.25 ,1.00 ,2,4
908240801441445 ,12.25 ,8.50 ,6.20 ,1.17 ,14.68 ,1119.45 ,3.00 ,0.83 ,1,4
908240801441839 ,49.00 ,8.75 ,24.18 ,230.75 ,1308.99 ,1551.84 ,13.00 ,1.00 ,1,4
908240801442859 ,7.00 ,3.67 ,0.34 ,1.07 ,23.03 ,863.80 ,1.50 ,1.00 ,2,3
908240801444825 ,127.67 ,12.50 ,1.90 ,67.86 ,2905.96 ,379.40 ,2.80 ,1.00 ,2,6
908240801445851 ,139.80 ,18.00 ,22.72 ,54.15 ,2193.83 ,434.00 ,14.25 ,1.00 ,1,5
908240801447041 ,45.50 ,16.50 ,5.98 ,17.68 ,777.10 ,397.69 ,1.00 ,0.85 ,1,2
908240801451683 ,14.00 ,4.00 ,6.88 ,0.78 ,88.48 ,153.93 ,2.00 ,1.00 ,2,1
908240801453463 ,6.00 ,3.50 ,1.38 ,0.04 ,1.15 ,572.13 ,2.00 ,1.00 ,1,2
908240801454751 ,75.00 ,3.67 ,21.88 ,45.32 ,2794.34 ,621.22 ,8.67 ,1.00 ,2,3
908240801456977 ,233.33 ,6.00 ,1.85 ,500.75 ,3735.16 ,1692.37 ,1.00 ,0.99 ,2,3
908240801458269 ,14.00 ,9.00 ,2.62 ,0.39 ,72.53 ,93.70 ,3.00 ,1.00 ,1,1
908240801459855 ,451.20 ,17.00 ,57.01 ,273.10 ,8932.69 ,814.92 ,12.40 ,0.81 ,2,5
908240801463543 ,23.33 ,8.80 ,10.99 ,0.55 ,169.65 ,146.58 ,7.67 ,1.00 ,2,6
908240801463633 ,32.25 ,15.00 ,20.33 ,0.07 ,89.52 ,821.38 ,11.75 ,0.81 ,1,4
908240801467365 ,44.60 ,9.40 ,1.41 ,8.92 ,489.45 ,192.22 ,1.67 ,0.98 ,2,5
908240801473045 ,342.83 ,61.00 ,222.39 ,205.66 ,5549.95 ,905.31 ,30.50 ,0.41 ,2,6
908240801474253 ,15.50 ,8.00 ,0.07 ,2.78 ,71.04 ,744.26 ,1.00 ,1.00 ,1,2
908240801475081 ,193.33 ,23.33 ,41.54 ,161.26 ,3498.13 ,553.79 ,12.67 ,0.78 ,1,6
908240801475563 ,85.33 ,9.50 ,91.18 ,58.93 ,546.87 ,1703.90 ,24.40 ,1.00 ,2,6
908240801475619 ,17.00 ,6.33 ,1.48 ,10.04 ,94.98 ,2808.37 ,1.00 ,0.37 ,1,3
908240801477057 ,339.50 ,14.00 ,17.96 ,217.21 ,2930.83 ,1301.73 ,9.00 ,0.63 ,2,6
908240801477237 ,63.75 ,15.50 ,11.35 ,18.69 ,816.58 ,418.95 ,5.75 ,1.00 ,1,4
908240801477973 ,19.75 ,4.25 ,5.06 ,0.01 ,113.76 ,68.43 ,4.00 ,1.00 ,2,4
908240801480933 ,64.80 ,11.20 ,88.92 ,0.02 ,0.61 ,568.88 ,19.80 ,1.00 ,2,5
908240801481051 ,330.17 ,10.33 ,45.73 ,901.15 ,3613.71 ,4228.41 ,16.33 ,1.00 ,2,6
908240801482063 ,64.33 ,8.33 ,0.13 ,6.53 ,1251.94 ,80.71 ,1.00 ,0.73 ,1,6
908240801482559 ,74.50 ,6.50 ,0.53 ,10.61 ,761.42 ,252.51 ,1.00 ,1.00 ,2,4
908240801486109 ,149.20 ,8.40 ,5.03 ,34.71 ,1915.51 ,499.35 ,3.33 ,0.81 ,2,5
908240801486115 ,233.67 ,14.00 ,15.97 ,48.69 ,31593.10 ,26.94 ,2.00 ,0.11 ,1,3
908240801487475 ,54.67 ,11.50 ,2.04 ,19.70 ,1801.84 ,454.34 ,2.50 ,1.00 ,2,6
908240801488445 ,108.00 ,12.00 ,21.02 ,86.06 ,2050.84 ,677.26 ,11.00 ,0.79 ,2,6
908240801488555 ,27.00 ,6.00 ,26.53 ,0.37 ,16.47 ,262.05 ,9.00 ,1.00 ,2,4
908240820023937 ,128.20 ,6.50 ,3.85 ,0.26 ,1901.85 ,2.72 ,3.00 ,1.00 ,1,5
908240820028417 ,60.17 ,10.17 ,1.46 ,0.00 ,690.75 ,0.05 ,2.50 ,0.94 ,1,6
908240820036805 ,30.20 ,6.80 ,1.30 ,19.69 ,1406.83 ,340.27 ,1.50 ,1.00 ,1,5
908240820037465 ,6.00 ,5.50 ,0.52 ,0.07 ,13.95 ,92.22 ,1.00 ,1.00 ,1,4
908240820040023 ,116.80 ,8.00 ,14.04 ,0.00 ,1643.95 ,0.05 ,8.60 ,1.00 ,2,5
908240820048955 ,14.00 ,6.00 ,7.66 ,2.75 ,552.37 ,86.91 ,1.50 ,1.00 ,1,2
908240820048995 ,91.00 ,5.00 ,5.32 ,0.00 ,1449.30 ,0.01 ,3.00 ,1.00 ,1,1
908240820053729 ,14.80 ,11.00 ,2.26 ,0.57 ,89.63 ,56.64 ,1.67 ,1.00 ,1,5
908240820054579 ,29.67 ,18.33 ,2.34 ,10.93 ,59.57 ,3273.66 ,1.80 ,0.85 ,1,6
908240820055319 ,47.00 ,5.00 ,1.35 ,0.10 ,520.07 ,3.23 ,2.00 ,1.00 ,1,1
908240820058623 ,43.67 ,11.33 ,2.92 ,36.73 ,1048.14 ,466.59 ,3.33 ,1.00 ,2,6
908240820061401 ,7.00 ,5.00 ,0.72 ,0.12 ,17.44 ,123.97 ,1.00 ,1.00 ,1,3
908240820066633 ,823.50 ,19.50 ,6.60 ,609.33 ,12280.55 ,818.39 ,9.50 ,0.07 ,2,2
908240820067693 ,390.33 ,29.00 ,60.53 ,237.45 ,5318.49 ,1128.90 ,27.50 ,0.95 ,2,6
908240820069687 ,56.00 ,4.50 ,0.08 ,207.85 ,510.04 ,4118.25 ,1.00 ,1.00 ,1,2
908240820076121 ,154.50 ,29.50 ,38.76 ,58.54 ,2483.35 ,415.32 ,20.50 ,0.73 ,2,2
908240820081251 ,24.00 ,6.33 ,12.58 ,4.59 ,70.15 ,630.15 ,8.00 ,1.00 ,2,3
908240820082693 ,60.00 ,42.67 ,22.82 ,0.29 ,8.91 ,673.97 ,13.00 ,1.00 ,2,6
908240820084073 ,15.67 ,8.00 ,6.02 ,54.90 ,368.81 ,1310.56 ,1.00 ,1.00 ,1,3
908240820086083 ,17.83 ,6.33 ,0.83 ,2.82 ,103.35 ,2375.22 ,1.00 ,1.00 ,2,6
908240820091247 ,37.33 ,4.67 ,1.05 ,378.49 ,1234.46 ,7000.19 ,1.00 ,0.24 ,1,3
908240820095161 ,57.67 ,5.00 ,13.69 ,1.14 ,57.88 ,357.75 ,11.00 ,1.00 ,2,3
908240820095717 ,148.50 ,13.00 ,50.84 ,58.51 ,1909.30 ,461.37 ,12.33 ,1.00 ,2,4
908240820102067 ,11.83 ,13.00 ,3.91 ,0.10 ,46.13 ,9.70 ,2.50 ,1.00 ,1,6
908240820102347 ,12.00 ,6.50 ,0.47 ,1.54 ,193.83 ,138.75 ,2.00 ,1.00 ,1,2
908240820102739 ,75.33 ,10.00 ,5.35 ,0.07 ,1059.37 ,306.38 ,3.33 ,1.00 ,1,3
908240820103541 ,12.60 ,11.00 ,1.55 ,0.09 ,8.68 ,173.80 ,2.00 ,1.00 ,1,5
908240820105699 ,7.25 ,5.75 ,2.10 ,0.07 ,1.58 ,2831.38 ,1.00 ,1.00 ,1,4
908240820108087 ,236.00 ,7.00 ,5.15 ,46.10 ,1883.92 ,427.64 ,2.00 ,1.00 ,2,1
908240820108187 ,35.00 ,1.00 ,0.25 ,49.45 ,2130.15 ,405.66 ,1.00 ,1.00 ,1,2
908240820108787 ,11.33 ,4.67 ,0.18 ,0.82 ,315.39 ,54.26 ,1.00 ,1.00 ,2,3
908240820114233 ,72.00 ,8.33 ,12.27 ,0.02 ,774.54 ,0.22 ,4.00 ,1.00 ,1,3
908240820117385 ,13.67 ,8.83 ,4.26 ,0.14 ,10.35 ,306.69 ,3.75 ,1.00 ,2,6
908240820120623 ,413.50 ,12.50 ,9.43 ,54.76 ,5251.28 ,166.53 ,7.00 ,0.58 ,2,2
908240820130349 ,49.50 ,18.00 ,63.63 ,5.02 ,140.67 ,567.68 ,12.00 ,1.00 ,2,2
908240820139263 ,86.17 ,14.60 ,2.21 ,2.02 ,3510.57 ,156.66 ,2.25 ,1.00 ,1,6
908240820139851 ,21.33 ,15.00 ,9.99 ,0.26 ,11.70 ,382.35 ,7.00 ,1.00 ,2,3
908240820150869 ,17.00 ,14.67 ,3.27 ,0.07 ,23.53 ,54.92 ,4.33 ,1.00 ,1,4
908240820157363 ,80.00 ,9.25 ,1.32 ,0.04 ,4722.04 ,455.44 ,2.00 ,1.00 ,1,4
908240820158197 ,8.00 ,5.50 ,0.63 ,1.74 ,10.18 ,2984.20 ,1.00 ,1.00 ,1,2
908240820158375 ,14.25 ,10.25 ,1.86 ,0.00 ,0.02 ,138.00 ,3.67 ,1.00 ,1,4
908240820158533 ,11.00 ,10.00 ,0.90 ,0.01 ,5.28 ,19.11 ,1.00 ,1.00 ,1,2
908240820161669 ,29.80 ,7.50 ,0.88 ,1.80 ,253.54 ,217.50 ,1.00 ,0.13 ,1,5
908240820164825 ,298.80 ,6.75 ,0.56 ,0.05 ,3669.40 ,5.57 ,1.67 ,0.48 ,1,5
908240820173791 ,30.50 ,10.00 ,0.17 ,0.00 ,640.89 ,0.09 ,1.00 ,1.00 ,1,2
908240820181425 ,20.20 ,5.00 ,9.51 ,3.39 ,48.79 ,1213.77 ,5.00 ,1.00 ,2,5
908240820184243 ,321.00 ,9.00 ,1.71 ,1.24 ,3738.63 ,5.04 ,2.50 ,1.00 ,1,2
908240820184271 ,215.00 ,10.00 ,23.28 ,64.79 ,1794.20 ,631.05 ,5.00 ,1.00 ,2,1
908240820186411 ,11.40 ,10.20 ,3.52 ,0.02 ,0.59 ,668.08 ,2.00 ,1.00 ,1,5
908240820187019 ,61.00 ,3.00 ,26.83 ,1.10 ,69.45 ,275.69 ,17.00 ,1.00 ,2,1
908240820192231 ,15.00 ,9.00 ,1.27 ,0.03 ,0.78 ,597.40 ,1.00 ,1.00 ,2,1
908240820197259 ,21.00 ,10.00 ,1.38 ,0.00 ,179.67 ,0.07 ,1.00 ,1.00 ,1,1
908240820198229 ,14.00 ,6.50 ,0.88 ,6.79 ,473.42 ,250.60 ,1.00 ,1.00 ,1,2
908240820200205 ,7.33 ,4.67 ,5.08 ,0.01 ,1.64 ,151.29 ,3.00 ,1.00 ,1,3
908240820200501 ,19.75 ,8.00 ,3.97 ,0.71 ,122.57 ,651.75 ,4.50 ,1.00 ,1,4
908240820201621 ,7.00 ,5.00 ,0.22 ,0.00 ,91.93 ,0.08 ,1.50 ,1.00 ,1,2
908240820202259 ,55.00 ,8.00 ,17.53 ,0.00 ,286.73 ,0.18 ,5.00 ,1.00 ,2,1
908240820204167 ,7.50 ,4.00 ,1.68 ,0.58 ,85.69 ,122.55 ,1.00 ,1.00 ,1,4
908240820205105 ,9.67 ,6.67 ,1.30 ,0.03 ,5.58 ,127.30 ,2.00 ,1.00 ,1,6
908240820208833 ,229.50 ,13.50 ,25.95 ,204.55 ,3128.11 ,1128.44 ,5.00 ,0.75 ,2,4
908240820215759 ,11.00 ,7.50 ,0.80 ,0.94 ,9.28 ,1778.05 ,2.00 ,1.00 ,2,2
908240820218387 ,76.25 ,14.75 ,4.08 ,0.05 ,2310.00 ,0.15 ,2.75 ,1.00 ,2,4
